Customer,Address,Depot_Assignment,Latitude,Longitude
Dock Sales-Lake Charles,2310 Clark Dr  Welsh  LA 79931,Lake Charles,30.2639,-92.8094
Elton Dryer Inc,2114 Brooks Ave  Jennings  LA 74976,Lake Charles,30.2114,-92.6514
Elton Express (formerly Tony's Mini Mart),7737 Madison Dr  Iowa  LA 78393,Lake Charles,30.2162,-93.0075
Feathers,3355 Jackson St  Orange  LA 75797,Lake Charles,30.0869,-93.7211
Fluor Federal Petroleum (DM Petroleum),7328 Parker Ave  Orange  LA 77332,Lake Charles,30.0698,-93.7501
Gillis Food Mart,9760 Cooper Rd  Fannett  LA 73973,Lake Charles,29.8633,-94.2023
Glenn's Mart-Vinton,3257 Garcia Rd  New Iberia  LA 76604,Lake Charles,30.0321,-91.8348
Hanson's Super Foods,9986 Brown Ave  Westlake  LA 70199,Lake Charles,30.2257,-93.2827
HD  Truck & Tractor,4361 Maple Ave  Lafayette  LA 75778,Lake Charles,30.2127,-91.999
Henderson One Stop,8561 Campbell St  Jennings  LA 75272,Lake Charles,30.2004,-92.6317
Hop-In,3202 Walker St  Jennings  LA 73600,Lake Charles,30.2032,-92.6558
I-10 Rayne Chevron,5275 Washington St  Opelousas  LA 79302,Lake Charles,30.5075,-92.0868
JF PetroleumformerlyRITTNER),6804 Carter St  Lafayette  LA 72818,Lake Charles,30.1959,-92.0044
Johnson Bayou Convenient Store,3267 Roberts St  Lake Charles  LA 75124,Lake Charles,30.2044,-93.2422
Jones Grocery & Deli,6770 Price St  Crowley  LA 70188,Lake Charles,30.2217,-92.3958
Kerry A Sack,5494 Price St  Opelousas  LA 76761,Lake Charles,30.518,-92.0569
Kinder Quick Stop,5444 Gonzalez Ave  Orange  LA 73801,Lake Charles,30.0781,-93.7073
Kingspoint #4,5359 Harris Dr  Lafayette  LA 74933,Lake Charles,30.2296,-92.0423
KOA Campground,9283 Maple Ave  Abbeville  LA 71524,Lake Charles,29.9456,-92.1355
Lavergne Farms,4321 Pine Rd  New Iberia  LA 71481,Lake Charles,29.9911,-91.8112
LC-Dollar General,323 Wilson Dr  Welsh  LA 77807,Lake Charles,30.2242,-92.8391
LC-Sasol North America-Alcohol Unit,9336 Lewis Ave  Vinton  LA 75784,Lake Charles,30.2056,-93.5697
LC-Sasol North America-Emergency Response,6998 Roosevelt Ave  New Iberia  LA 76224,Lake Charles,30.0012,-91.7945
LC-Sasol North America-Ethylene,7609 Thompson Ave  New Iberia  LA 78069,Lake Charles,30.0131,-91.8358
LC-Sasol North America-LAB,6918 Ross St  Sulphur  LA 71472,Lake Charles,30.2495,-93.3876
LC-Sasol North America-Shop,3875 Turner Ave  Abbeville  LA 78962,Lake Charles,29.9792,-92.1522
Lewing Construction,4063 Thomas Rd  Lake Charles  LA 72473,Lake Charles,30.2488,-93.2241
M & K Pantry,2852 Ross St  Westlake  LA 71806,Lake Charles,30.2576,-93.2834
Meaux Seafood (M&B),5469 Jenkins Dr  Lafayette  LA 77567,Lake Charles,30.2205,-92.002
Misses Grocery,1913 Cook St  Vinton  LA 74770,Lake Charles,30.2024,-93.5715
More 4  Less #10,4280 Pine Rd  China  LA 77884,Lake Charles,30.0612,-94.3187
Myer's Landing,3801 Gray Ave  Crowley  LA 79250,Lake Charles,30.1938,-92.3924
Neighborhood Quick Mart,6315 Parker Ave  Westlake  LA 76389,Lake Charles,30.2321,-93.2698
Nonc Kev Meat Market,3970 Jefferson Rd  Vinton  LA 73210,Lake Charles,30.2027,-93.5694
"Podnas Quick Mart, LLC",788 Second St  Lake Arthur  LA 79539,Lake Charles,30.118,-92.6573
Refuse Temple Inc.,3473 Moore Dr  Iowa  LA 74128,Lake Charles,30.2261,-93.0271
S & W One Stop(Smitty's),1041 Torres Dr  Abbeville  LA 77148,Lake Charles,29.9562,-92.1144
Savco (Point De Leglise),8420 Perry St  New Iberia  LA 79959,Lake Charles,29.9998,-91.8123
Smokers Express,226 Cook St  Lake Charles  LA 77821,Lake Charles,30.2297,-93.2072
Smokers Paradise-SULPHUR,9058 Bailey St  Abbeville  LA 70206,Lake Charles,29.9951,-92.1324
Smokers Paradise-VINTON (LC ROUTE),5572 Flores Ave  Jennings  LA 71857,Lake Charles,30.2284,-92.6759
Starks Truck Stop (In & Out),4004 Brown Ave  Iowa  LA 76197,Lake Charles,30.2504,-93.0381
Steamboat Bill,9346 Richardson Dr  Westlake  LA 79646,Lake Charles,30.2616,-93.2586
Sunshine Liquor Plus-Broad St.,6563 Morris St  Crowley  LA 76824,Lake Charles,30.2375,-92.4014
Sunshine Liquor-Lake Charles,6298 Cooper Rd  Orange  LA 72083,Lake Charles,30.0892,-93.7102
Super Saver #4,6027 Nelson Dr  Iowa  LA 70812,Lake Charles,30.2248,-93.0393
System Services Broadband,1731 Turner Ave  Iowa  LA 77769,Lake Charles,30.2579,-93.0189
Ted's Quick Stop,3882 Monroe St  Crowley  LA 78188,Lake Charles,30.2109,-92.3643
The Buzz,8968 Harris Dr  Crowley  LA 75021,Lake Charles,30.2072,-92.348
Thibodeaux Country Store,148 Jackson Blvd  Vinton  LA 70139,Lake Charles,30.1661,-93.5953
Time Loop #13(FrmlyMae Mae-Hodges),3874 Madison Dr  Welsh  LA 71304,Lake Charles,30.2559,-92.8058
TJ's Market & Deli,732 Rodriguez St  Opelousas  LA 77567,Lake Charles,30.5295,-92.0711
Total We Fair (EconoMart #9),6680 Park Ave  Opelousas  LA 75413,Lake Charles,30.517,-92.0649
TP's Grocery,5317 Sanders Dr  Lake Charles  LA 79544,Lake Charles,30.2473,-93.2176
VOID-Lake Charles,2912 Collins St  Westlake  LA 76141,Lake Charles,30.2655,-93.251
We Fair (EconoMart #9),2065 Bennett Ave  Welsh  LA 71943,Lake Charles,30.2276,-92.8326
WHC Energy Services-Lake Charles,4719 Martinez St  Westlake  LA 72497,Lake Charles,30.2302,-93.2582
